[n: 10, f: 7, c: 9] p 92 | f 3
[n: 14, f: 6, c: 11] p 463 | f 10
[n: 10, f: 8, c: 9] p 105 | f 3
[n: 10, f: 0, c: 9] p 0 | f 1
[n: 10, f: 1, c: 9] p 13 | f 3
[n: 10, f: 2, c: 9] p 26 | f 3
[n: 10, f: 3, c: 9] p 39 | f 4
[n: 10, f: 4, c: 9] p 54 | f 3
[n: 10, f: 5, c: 9] p 66 | f 3
[n: 10, f: 6, c: 9] p 78 | f 3
[n: 25, f: 2, c: 6] p 786 | f 13
[n: 18, f: 5, c: 7] p 535 | f 11
[n: 22, f: 5, c: 9] p 2035 | f 24
[n: 10, f: 7, c: 9] p 91 | f 2
[n: 14, f: 7, c: 11] p 510 | f 9
[n: 17, f: 9, c: 10] p 1068 | f 20
[n: 10, f: 8, c: 9] p 105 | f 3
[n: 10, f: 0, c: 9] p 0 | f 1
[n: 10, f: 1, c: 9] p 12 | f 3
[n: 10, f: 2, c: 9] p 26 | f 3
[n: 10, f: 3, c: 9] p 39 | f 4
[n: 10, f: 4, c: 9] p 52 | f 4
[n: 17, f: 0, c: 10] p 170 | f 5
[n: 10, f: 5, c: 9] p 65 | f 3
[n: 10, f: 6, c: 9] p 78 | f 3
[n: 10, f: 7, c: 9] p 91 | f 2
[n: 18, f: 6, c: 7] p 572 | f 11
[n: 14, f: 8, c: 11] p 569 | f 8
[n: 10, f: 8, c: 9] p 105 | f 3
[n: 10, f: 0, c: 9] p 0 | f 2
[n: 17, f: 1, c: 10] p 351 | f 10
[n: 10, f: 1, c: 9] p 13 | f 2
[n: 10, f: 2, c: 9] p 26 | f 3
[n: 18, f: 0, c: 7] p 93 | f 4
[n: 10, f: 3, c: 9] p 39 | f 4
[n: 10, f: 4, c: 9] p 52 | f 4
[n: 10, f: 5, c: 9] p 65 | f 3
[n: 18, f: 1, c: 7] p 199 | f 7
[n: 10, f: 6, c: 9] p 78 | f 3
[n: 25, f: 3, c: 6] p 1028 | f 15
[n: 10, f: 7, c: 9] p 94 | f 2
[n: 10, f: 8, c: 9] p 105 | f 3
[n: 17, f: 2, c: 10] p 490 | f 12
[n: 10, f: 0, c: 9] p 0 | f 1
